ConditionTested.TestID;Expr1001;OrderRemarks;Lpp;;Tmean/Lpp;B/Tmean;LCG/Lpp;Fn;Pdiam/Tmean;RudArea/(Lpp*Tmean);Trim=(Taft-Tfore)/Lpp;;Beam;DraughtAP;DraughtFP;LCG;ApproachSpeed;PropellerDiameter;RudderAreaTot;BlockCoefficient;yv;yvabsv;yvlin;nv;nvabsv;;nvlin;yr;yrrr;nr;nrrr;xvv;xrr;xvr;yvrr;yrvv;yrabsv;yvabsr;nvrr;nrvv;nrabsv;nvabsr;xudot;yvdot;yrdot;nvdot;nrdot;xudot;yvdot;yrdot;nvdot;nrdot;xv;yvv;nvv;y0;n0;Expr1;nvu;yvu;yru;nru;hydrocoefficientsremarks;stabilitycriterion;slopeRDcurve0dim;slopeRDcurve1s;yd;nd;Expr1054;OrderNumber;PropellerRevolutions;HydroDynamicCoefficients.TestID;NumberOfPropellers;NumberOfRudders
206;99168;ROPAX1600 KEH becker rudder;176;;0.036363636;3.90625;-0.031136364;0.321736069;0.8125;0.026633523;0;;25;6.4;6.4;-5.48;26;5.2;30;0.598721591;-479.4;-4990;-958.5;-271.8;-462;1.699779249;-343.3;264.3;-325;-297;-141;-274.8;3.2;519.5;-269;506.9;-728.6;-1064.5;37.6;1323;-1128.1;-223.9;-37.1;-649.5;-10.1;58.2;-49.4;-7182.56;-125743.2;-1955.36;11267.52;-9563.84;0;0;0;0;0;1;0;0;0;0;refittet by bla;0;0;0;363.7;-185.2;206;99168;167;206;2;2
208;89154;BC FERRY;156;;0.028846154;5.911111111;-0.046153846;0.131437848;0.777777778;0.030769231;0;;26.6;4.5;4.5;-7.2;10;3.5;21.6;0.520317889;-617;-2635;-427;-108;-388;3.592592593;-187;90;-35;-117;-114;90;-16;150;-195;-2135;1724;-229;-58;1380;-1266;122;-31;-294;15;24;-17;-6302.556391;-59772.63158;3049.62406;4879.398496;-3456.240602;0;0;0;0;0;1;0;0;0;0;BLA BY HAND;-0.0000039;3.279;0.1081;321;-159;208;89154;115;208;2;2
215;2000071;<Thales fregate 30 kn, kun de refittede coefs er indtastet>;142;;0.043028169;3.273322422;-0.006478873;0.413294685;0.842880524;0.043797976;0;;20;6.11;6.11;-0.92;30;5.15;38;0.481509762;-1334.7;-4975;-1840.5;-464.9;0;0;-482.8;449.2;-740;-432.3;133;-355.7;-88.8;691.9;-2993.4;-4813.5;100.2;442.8;-472.7;-1235.4;-279.8;-49.3;-35.2;-726.3;-63;84.3;-37;-5808.288052;-119845.4435;-10395.51555;13910.18985;-6105.302782;0;0;0;0;0;1;0;0;0;0;BLA BY HAND refittet ( - rulllecoefs);9998;9998;9998;505.9;-241.9;215;2000071;136;215;2;2
216;2000071;<Thales fregate 18 kn, kun de refittede coefs er indtastet>;142;;0.043028169;3.273322422;-0.006478873;0.247976811;0.842880524;0.043797976;0;;20;6.11;6.11;-0.92;18;5.15;38;0.481509762;-1069.3;-4719;-1412.9;-495.5;800;-1.614530777;-475.4;383.7;-762;-354.7;-42;-247.3;-57.2;684.5;-2914;-3739.2;-122.5;730.2;-286.6;-1199.1;-168.8;-135.7;-35.2;-726.3;-50.6;84.3;-33.7;-5808.288052;-119845.4435;-8349.414075;13910.18985;-5560.775777;0;0;0;0;0;1;0;0;0;0;BLA BY HAND refittet ( - rulllecoefs);9998;9998;9998;333.2;-152.9;216;2000071;136;216;2;2
219;2000167;<NaviForm_20 car and truck carrier, kun de refittede coefs er indtastet, smaller rudder>;132.6;;0.038838612;4.466019417;-0.023680241;0.22810298;0.660194175;0.039537847;0;;23;5.15;5.15;-3.14;16;3.4;27;0.645275482;-758;-2300;-758;-315.3;335;-1.062480178;-315.3;319.8;-16.5;-207.7;-107;-531.5;-11.2;416;-586.8;-159.8;59.4;-450.4;137.9;-465.1;-226.2;-212.1;-52.2;-636.6;-33.8;-6.3;-42;-7748.586509;-94497.12973;-5017.283985;-935.1742339;-6234.494892;0;0;0;0;0;1;0;0;0;0;BLA BY HAND refittet;9998;9998;9998;484.5;-225.9;219;2000167;183.1;219;2;2
33;74007;<BALLAST>;350;;0.032142857;7.020444444;0.003628571;0.153563062;0.813333333;0.043174603;0.01;;78.98;13;9.5;1.27;17.5;9.15;170;0.746662808;-865;-1763.8;-896;-71.5;424.8;-5.941258741;-79;327.3;163.1;-147.7;-169.9;113.4;-38.5;437;-283;0;745;0;176;0;-377;0;-65;-543.7;31.2;44.7;-39.1;-8961.481106;-74959.34273;4301.510931;6162.741622;-5390.675558;0;0;0;0;0;1.368421053;0;0;0;0;<>;7.584;-2.622;-0.0674;385.4;-187.8;33;74007;80;33;2;2
77;82032;<NEW-ZEALAND FERRY, INW. ROT.>;137;;0.037226277;3.970588235;0.000948905;0.182333222;0.68627451;0.0330614;0.002919708;;20.25;5.3;4.9;0.13;13;3.5;23.1;0.594260593;-893;-2808;-780;-147;-424;2.884353741;-195;167;-116;-136;-246;20;-50.6;372;0;0;-100;-726;0;0;-600;239;-39.2;-594.4;13;38.6;-35.7;-7124.132656;-108025.1135;2362.595013;7015.089809;-6488.049383;0;0;0;0;0;1.081632653;0;0;0;0;<>;1.16;-1.526;-0.7448;300;-152;77;82032;214;77;2;2
78;82050;<ARATIKA>;123.44;;0.040100454;3.694949495;0.000648088;0.177311142;0.626262626;0.027298258;0.002430331;;18.29;5.1;4.8;0.08;12;3.1;16.68;0.576608067;-733;-2780;-720;-218;-469;2.151376147;-300;188;-166;-121;-138;201;-71;251;0;0;-270;-12;0;0;-513;8;-41.1;-556.3;1.2;36.9;-27.7;-6917.270253;-93627.18836;201.964095;6210.39592;-4662.004526;0;0;0;0;0;1.0625;0;0;0;0;<>;-6.171;2.67;0.1335;266;-118;78;82050;216;78;2;2
87;83140;<DR. INGRID, TRIMMED, 1 BOWRUDDER>;136.53;;0.037354428;4.529411765;-0.041016626;0.140497531;0.82745098;0.029872053;0.005859518;;23.1;5.5;4.7;-5.6;10;4.22;20.8;0.642540097;-1254;-2371;-928;-80;-453;5.6625;-283;231;-51;-242;-179;206;-82;418;0;0;-380;-914;0;0;-530;12;-49;-633;54;120;-73;-7753.005722;-100156.176;8544.128755;18986.95279;-11550.39628;0;0;0;0;0;1.170212766;0;0;0;0;<>;2.919;-1.109;-0.418;426;-219;87;83140;145;87;2;2
96;85192;<2 RUD., 125M>;125;;0.0478;3.849372385;-0.04288;0.176201247;0.60251046;0.029643515;0.00376;;23;6.21;5.74;-5.36;12;3.6;22.14;0.628531927;-969.4;-2874;-1066.1;-222.7;-386.2;1.734171531;-313.3;349;-417;-240;-125;246.8;-64.2;773;0;0;-441;-1043;0;0;-586;-128;-66.3;-845.2;-7;7.8;-51.4;-7538.202656;-96097.87157;-795.8886665;886.8473713;-5844.09678;0;0;0;0;0;1.081881533;0;0;0;0;<>;-3.173;1.299;0.6413;492.2;-241.8;96;85192;138;96;2;2
213;98262;Fincantieri cond2 IV;138.8;;0.039805476;3.800904977;-0.007997118;0.292622219;0.814479638;0.029992046;0.004827089;;21;5.86;5.19;-1.11;21;4.5;23;0.591495299;-1147;-1711;-1198.9;-211;-208;0.985781991;-244.4;415.5;-13.6;-259.6;-33.3;-260;-18.2;535;0;0;-214.7;-1822.7;0;0;-602.5;-219.8;-42.8;-771.7;-17.6;23.7;-33.9;-7106.751407;-128137.3846;-2922.402448;3935.280569;-5628.945624;0;0;0;0;0;1.129094412;0;0;0;0;BLA BY HAND;9998;9998;9998;510.4;-244.2;213;98262;99;213;2;2
212;98262;Fincantieri cond2 II;138.8;;0.039805476;3.800904977;-0.007997118;0.209015871;0.814479638;0.029992046;0.004827089;;21;5.86;5.19;-1.11;15;4.5;23;0.591495299;-1102;-2174;-1188.6;-181;-186;1.027624309;-201.3;335.1;71.7;-210.3;-128.4;-414.6;-23.2;561.3;0;0;-275.5;-1375.6;0;0;-470;-227;-42.8;-665.2;-9;14.6;-34;-7106.751407;-110453.5289;-1494.410343;2424.265667;-5645.550183;0;0;0;0;0;1.129094412;0;0;0;0;BLA BY HAND;9998;9998;9998;468.2;-223.7;212;98262;99;212;2;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;min;64.3;;0.027678571;2.044247788;-0.05430303;0.122241483;0.368965517;0.01453172;0;;14;3.5;3.5;-11.86;10;2.4;8.8;0.481509762;-2094;-7843;-2600;-1362;-1280;;-1200;90;-762;-447;-428.7;-702.4;-156;150;-4820;-5525;-2169;-2528;-975;-3900;-2255.9;-396;-304.1;-2176;-151;-152;-121;;;;;;-227.1;-433.5;-222.4;-16.6;-6;1;0;0;0;0;0;-9.313;-7.48;-2.664;163.6;-397.9;1;7101;52.3;1;1;1
;;max;398;;0.077666667;7.482014388;0.037182852;0.413294685;1.081460674;0.043797976;0.017291066;;88.4;29;29;13;33;11.4;340;0.839596954;-326.9;-1039.8;-427;-71.5;800;;23.8;675;706;-116;133;1020;158;1967.5;926;4617.9;2204;9998;563;2472.1;0;9998;-21.8;-294;54;120;-13.9;;;;;;185.3;9998;9998;20;8.9;1.67610419;0;0;9998;9998;0;9998;9998;9998;782.2;-79.7;220;2000167;216;220;2;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;0.481509762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;0.839596954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
