ConditionTested.TestID;Expr1001;OrderRemarks;Lpp;;Tmean/Lpp;B/Tmean;LCG/Lpp;Fn;Pdiam/Tmean;RudArea/(Lpp*Tmean);Trim=(Taft-Tfore)/Lpp;;Beam;DraughtAP;DraughtFP;LCG;ApproachSpeed;PropellerDiameter;RudderAreaTot;BlockCoefficient;yv;yvabsv;yvlin;nv;nvabsv;;nvlin;yr;yrrr;nr;nrrr;xvv;xrr;xvr;yvrr;yrvv;yrabsv;yvabsr;nvrr;nrvv;nrabsv;nvabsr;xudot;yvdot;yrdot;nvdot;nrdot;xudot;yvdot;yrdot;nvdot;nrdot;xv;yvv;nvv;y0;n0;Expr1;nvu;yvu;yru;nru;hydrocoefficientsremarks;stabilitycriterion;slopeRDcurve0dim;slopeRDcurve1s;yd;nd;Expr1054;OrderNumber;PropellerRevolutions;HydroDynamicCoefficients.TestID;NumberOfPropellers;NumberOfRudders
76;81102;<Sign of LCB changed, see pmm report>;219;;0.058447489;2.515625;0.024109589;0.144212874;0.48046875;0.019656107;0;;32.2;12.8;12.8;5.28;13;6.15;55.1;0.80981097;-1364;-3368;-1750;-655;-57;0.087022901;-666;370;-30;-341;-118;-150;110;1040;0;0;55;-1050;0;0;-598;-144;-85.5;-1304;-151;-152;-81;-9949.207832;-151739.9651;-17571.11559;-17687.48059;-9425.565314;-10;169;30;5.9;0.3;1;0;0;0;0;<>;91.425;2.927;0.0894;277;-133;76;81102;95;76;1;1
82;83069;<>;215;;0.046511628;2.743;-0.001302326;0.20376749;0.63;0.014604651;0;;27.43;10;10;-0.28;18.2;6.3;31.4;0.780286395;-838;-2686;-1044;-412;-187;0.453883495;-460;235;72;-204;-54;-150;-76;662;-1595;0;0;0;-232;0;-578;0;-56;-762;-63;-86;-43;-9437.11265;-128412.14;-10616.75173;-14492.70871;-7246.354357;6;105;-41;3.4;0.1;1;0;0;0;0;<>;-1.069;1.732;0.0754;193;-92;82;83069;136;82;1;1
84;83081;<2129, LOADED>;173.5;;0.063112392;2.940639269;0.031527378;0.196047686;0.611872146;0.01933336;0;;32.2;10.95;10.95;5.47;15.73;6.7;36.73;0.782648091;-1500;-3800;-1750;-750;100;-0.133333333;-850;501;45;-378;-109;275;15.4;1369;0;0;626;-1293;0;0;-602;116;-110;-1725;-144.8;-90.4;-92.9;-9391.212173;-147271.2818;-12362.25021;-7717.868913;-7931.305553;-10;300;0;0;-2;1;0;0;0;0;<>;-3.698;1.929;0.0899;415;-206;84;83081;94;84;1;1
85;83098;<40000 DWT>;184;;0.049673913;3.326039387;0.02673913;0.169434506;0.656455142;0.019770954;0;;30.4;9.14;9.14;4.92;14;6;33.25;0.76660369;-1034;-2444;-1280;-503;48.6;-0.096620278;-480;289;30;-228;-61;128;-15;900;-461;-854;556;-584;-133;-850;-253;65;-75.5;-952;-75;-71.1;-61;-9199.470229;-115998.618;-9138.546585;-8663.342163;-7432.684556;-19;83;-5.1;-1;0.5;1;0;0;0;0;<>;-1.303;2.234;0.0874;268;-127;85;83098;96;85;1;1
89;84013;<NB. 110, LOADED>;186.4;;0.048980687;3.526834611;-0.004667382;0.244093279;0.766703176;0.024385486;0;;32.2;9.13;9.13;-0.87;20.3;7;41.5;0.679611061;-804;-3395;-1171;-578;7.83;-0.013546713;-623;144;52;-256;-76;-47;-57;588;0;0;376;-1599;0;0;-751;263;-69;-1123;-54;-5;-59;-8154.817712;-132722.6129;-6382.031253;-590.9288197;-6972.960073;-64;-196;53;-5.4;1.7;1;0;0;0;0;refitted after removal of yvu and nvu;-3.333;1.199;0.0672;339;-161;89;84013;100;89;1;1
91;84203;<NB. 113, HEAVY>;164;;0.068902439;2.044247788;0.009878049;0.184083666;0.501327434;0.016511979;0;;23.1;11.3;11.3;1.62;14.36;5.665;30.6;0.791120168;-1449;-5683;-1888;-982.1;368.7;-0.375420018;-1040;544;169;-365;-147;384.3;27.5;1116;0;-3403;1685;-850;0;-89;-868;39;-92.1;-1744.7;-81;-82.1;-92.9;-9489.796575;-179770.3375;-8346.075164;-8459.416925;-9572.226947;-6.7;148.8;-12.7;-8.8;3;1;0;0;0;0;<PRELIMINARY>;-3.214;2.261;0.1018;370.9;-179;91;84203;113;91;1;1
92;84203;<NB. 113, LOADED>;164;;0.055670732;2.530120482;0.018658537;0.194210831;0.620481928;0.020436513;0;;23.1;9.13;9.13;3.06;15.15;5.665;30.6;0.768038896;-1164.5;-3665.5;-1461;-636.4;246;-0.38654934;-659;395;299;-279;-137.2;-11.2;-57.3;870;0;-4093;1774;-1165;0;0;-679;163;-72.3;-1186;-44.9;-50;-76.4;-9220.261447;-151247.9955;-5725.999156;-6376.391042;-9743.125513;-6.4;-76.8;-42.2;-6.5;2.5;1;0;0;0;0;<>;-9.303;4.921;0.2339;329.6;-164.7;92;84203;113.6;92;1;1
177;86185;<equal to org. PMM report. PROBO CARRIER<LOADED>;175;;0.074285714;2.457692308;0.0104;0.186146542;0.569230769;0.020615385;0;;31.95;13;13;1.82;15;7.4;46.9;0.833775301;-1996;-5748;-2549.6;-1362;600;-0.440528634;-1178.1;396.9;316.4;-389.9;-102.7;367.5;15.2;1410;-1289;-3509;2204;469;-383;-757;-215;791;-135.7;-1983.8;-94.9;-140.1;-110.5;-10005.56759;-146271.518;-6997.261346;-10329.99278;-8147.496088;58.6;-184.8;24.5;12.1;4;1;0;0;0;0;refitted after removal of yvu and nvu;9998;9998;9998;410.7;-220.8;177;86185;83;177;1;1
184;88140;<56000 CUBIC METRE GAS CARRIER<LOADED>;193.6;;0.067045455;2.480739599;0.009245868;0.188777419;0.506779661;0.019300195;0;;32.2;12.98;12.98;1.79;16;6.578;48.5;0.788407459;-1667;-3956.8;-2001.8;-957.4;232.8;-0.243158554;-876.4;577.7;-36.5;-445.7;-69.1;-87;-3.9;1191.6;0;0;83.9;-1534.9;0;0;-824;-199.7;-105.5;-1717.9;-141.3;-80.2;-83.9;-9460.903253;-154055.7886;-12671.33298;-7192.080008;-7523.884198;47.8;-18.2;-34;-0.6;-0.7;1;0;0;0;0;9998;9998;9998;9998;395.8;-191;184;88140;101;184;1;1
187;90146;<LINDOE NO. 141, LOADED>;327;;0.060550459;2.848484848;0.031559633;0.140715053;0.47979798;0.018765638;0;;56.4;19.8;19.8;10.32;15.5;9.5;121.5;0.828140647;-1364.7;-5256.5;-1854;-727.9;45.8;-0.062920731;-851.2;434.5;238.3;-341.7;-177.6;122.6;40;960;0;0;52.8;-1136;0;0;-607.5;-53;-103.8;-1449.9;-37;-59.5;-78.2;-9939.134429;-138831.898;-3542.851386;-5697.28804;-7487.864281;0;0;0;-4.6;-2.7;1;0;0;0;0;9998;9998;9998;9998;299.8;-145.7;187;90146;79.8;187;1;1
